household_id,cluster,property_type,construction_age_band,floor_area_m2,insulation_quality,tenure_type,num_occupants,income_band,occupancy_pattern,children_present,heating_type,cooling_system,cooking_fuel,solar_pv,pv_capacity_kwp,ev_ownership
1,0,apartment,after 2010,69.9,medium,social housing,2,medium,working adults,no,gas boiler,none,gas,no,0.0,no
2,3,terraced,1945–1970,88.4,poor,social housing,4,high,working adults,no,gas boiler,reversible heat pump,electric,no,0.0,no
3,6,detached house,1945–1970,133.9,poor,social housing,4,high,retired,yes,gas boiler,none,gas,no,0.0,no
4,2,detached house,1990–2010,166.0,good,private rental,2,high,mixed,yes,heat pump,reversible heat pump,electric,yes,4.76,no
5,2,terraced,1945–1970,118.5,medium,owner-occupied,2,high,mixed,no,heat pump,none,electric,no,0.0,no
6,6,semi-detached,1945–1970,87.5,poor,private rental,2,high,retired,no,gas boiler,none,gas,yes,1.21,no
7,4,terraced,1990–2010,100.1,medium,owner-occupied,1,high,mixed,no,gas boiler,none,gas,no,0.0,yes
8,2,apartment,after 2010,64.8,medium,private rental,2,high,working adults,no,heat pump,none,electric,no,0.0,no
9,3,terraced,1990–2010,114.6,poor,private rental,4,high,working adults,yes,gas boiler,AC unit,gas,no,0.0,no
10,3,detached house,after 2010,172.0,medium,owner-occupied,2,high,working adults,no,gas boiler,reversible heat pump,electric,yes,3.94,no
11,6,terraced,1970–1990,97.0,poor,private rental,3,high,working adults,no,gas boiler,none,gas,yes,4.2,no
12,2,terraced,1945–1970,92.9,poor,owner-occupied,1,high,retired,no,electric heating,none,electric,yes,2.66,yes
13,0,apartment,before 1945,86.1,poor,owner-occupied,3,high,mixed,yes,gas boiler,none,gas,no,0.0,no
14,2,apartment,1945–1970,28.0,poor,owner-occupied,2,high,retired,no,heat pump,reversible heat pump,electric,no,0.0,no
15,4,terraced,1970–1990,111.1,medium,private rental,4,high,students,yes,gas boiler,none,gas,yes,3.43,yes
16,2,apartment,1970–1990,62.8,medium,private rental,3,high,retired,yes,electric heating,reversible heat pump,electric,no,0.0,no
17,4,apartment,before 1945,44.0,medium,social housing,3,medium,retired,yes,gas boiler,reversible heat pump,gas,no,0.0,yes
18,1,detached house,after 2010,157.2,medium,owner-occupied,5,high,working adults,no,heat pump,reversible heat pump,gas,no,0.0,no
19,0,apartment,1990–2010,70.7,medium,owner-occupied,2,high,students,yes,gas boiler,none,electric,no,0.0,no
20,6,semi-detached,1945–1970,91.2,poor,owner-occupied,4,high,working adults,yes,gas boiler,none,gas,yes,3.76,no
21,0,apartment,1990–2010,65.6,medium,private rental,2,high,working adults,no,gas boiler,AC unit,gas,no,0.0,no
22,5,apartment,1990–2010,50.3,medium,social housing,2,medium,students,no,district heating,none,electric,no,0.0,yes
23,0,apartment,before 1945,45.8,medium,private rental,3,high,working adults,yes,gas boiler,reversible heat pump,electric,no,0.0,no
24,2,detached house,1945–1970,166.6,medium,owner-occupied,2,high,working adults,yes,electric heating,none,electric,yes,4.04,no
25,1,semi-detached,after 2010,87.4,medium,owner-occupied,4,high,students,yes,electric heating,reversible heat pump,gas,yes,1.96,no
26,0,apartment,1990–2010,28.0,good,owner-occupied,1,high,retired,no,gas boiler,reversible heat pump,gas,no,0.0,no
27,6,detached house,after 2010,156.5,medium,private rental,4,high,mixed,no,gas boiler,none,gas,no,0.0,no
28,3,semi-detached,1945–1970,83.3,poor,owner-occupied,2,high,working adults,yes,gas boiler,reversible heat pump,electric,yes,4.21,no
29,0,apartment,1990–2010,28.0,medium,private rental,1,high,working adults,no,gas boiler,none,gas,no,0.0,no
30,0,apartment,1970–1990,68.1,poor,private rental,1,high,retired,no,gas boiler,none,electric,no,0.0,no
31,6,detached house,1970–1990,144.2,good,owner-occupied,1,high,working adults,no,gas boiler,none,gas,no,0.0,no
32,2,detached house,1990–2010,105.6,good,owner-occupied,3,high,mixed,no,heat pump,reversible heat pump,electric,yes,4.42,no
33,2,terraced,1990–2010,117.1,good,owner-occupied,2,high,mixed,no,heat pump,reversible heat pump,electric,yes,4.25,no
34,0,apartment,before 1945,94.8,medium,owner-occupied,3,high,mixed,no,gas boiler,reversible heat pump,gas,yes,1.2,no
35,6,semi-detached,1970–1990,101.5,poor,owner-occupied,1,high,students,no,gas boiler,none,gas,yes,1.88,no
36,0,apartment,1970–1990,69.0,medium,owner-occupied,1,high,working adults,no,gas boiler,AC unit,gas,no,0.0,no
37,4,detached house,1945–1970,87.5,medium,private rental,3,high,working adults,no,gas boiler,reversible heat pump,gas,no,0.0,yes
38,6,terraced,1990–2010,99.8,medium,owner-occupied,1,high,working adults,no,gas boiler,none,electric,yes,1.48,no
39,2,apartment,after 2010,93.1,good,private rental,4,high,mixed,yes,heat pump,none,electric,no,0.0,no
40,2,apartment,after 2010,72.7,good,private rental,3,high,retired,yes,heat pump,reversible heat pump,electric,yes,4.87,no
41,0,apartment,1990–2010,47.7,good,private rental,3,high,mixed,yes,gas boiler,none,electric,no,0.0,no
42,0,semi-detached,1990–2010,65.0,good,private rental,3,high,students,no,gas boiler,none,gas,yes,2.28,no
43,5,apartment,1970–1990,37.0,medium,social housing,3,medium,working adults,no,district heating,none,gas,no,0.0,no
44,6,detached house,1970–1990,174.6,medium,owner-occupied,3,high,students,yes,gas boiler,none,gas,yes,5.45,no
45,5,apartment,after 2010,65.4,good,social housing,2,medium,working adults,no,district heating,AC unit,electric,no,0.0,no
46,5,apartment,after 2010,47.3,poor,private rental,1,high,retired,no,district heating,reversible heat pump,electric,yes,3.98,no
47,0,apartment,1970–1990,83.7,poor,owner-occupied,2,high,mixed,yes,gas boiler,none,gas,no,0.0,no
48,0,apartment,1990–2010,49.8,good,owner-occupied,2,high,working adults,no,gas boiler,AC unit,electric,yes,3.92,no
49,0,apartment,1990–2010,52.8,medium,private rental,2,high,working adults,no,gas boiler,AC unit,gas,no,0.0,no
50,6,terraced,1990–2010,95.4,poor,owner-occupied,2,high,working adults,no,gas boiler,none,electric,yes,4.21,no
51,0,terraced,after 2010,81.1,good,owner-occupied,4,high,working adults,no,gas boiler,none,gas,no,0.0,no
52,2,detached house,1970–1990,108.6,medium,owner-occupied,3,high,retired,yes,heat pump,none,electric,no,0.0,yes
53,5,apartment,after 2010,51.3,medium,private rental,2,high,working adults,yes,district heating,none,electric,no,0.0,no
54,0,apartment,1970–1990,62.3,medium,private rental,2,high,students,no,gas boiler,AC unit,electric,yes,3.95,no
55,4,detached house,after 2010,235.5,medium,private rental,4,high,mixed,yes,gas boiler,none,gas,no,0.0,yes
56,0,terraced,1990–2010,67.7,medium,owner-occupied,3,high,mixed,yes,gas boiler,AC unit,electric,no,0.0,no
57,4,detached house,before 1945,130.3,poor,owner-occupied,2,high,working adults,no,gas boiler,reversible heat pump,gas,no,0.0,yes
58,3,detached house,1990–2010,173.4,medium,social housing,4,high,working adults,yes,gas boiler,AC unit,electric,no,0.0,no
59,2,apartment,1945–1970,37.2,poor,social housing,3,high,mixed,yes,electric heating,reversible heat pump,electric,yes,4.35,no
60,6,semi-detached,1945–1970,126.7,medium,private rental,3,high,mixed,yes,gas boiler,none,gas,no,0.0,no
61,1,terraced,after 2010,93.8,medium,owner-occupied,2,high,working adults,no,heat pump,none,gas,yes,4.19,no
62,6,semi-detached,before 1945,100.7,medium,private rental,5,high,mixed,yes,gas boiler,none,gas,no,0.0,no
63,1,apartment,before 1945,69.7,good,social housing,2,medium,working adults,no,heat pump,none,gas,no,0.0,no
64,1,terraced,before 1945,72.3,poor,private rental,2,high,students,yes,heat pump,none,gas,no,0.0,yes
65,4,semi-detached,before 1945,116.2,poor,private rental,2,high,working adults,no,gas boiler,reversible heat pump,gas,no,0.0,yes
66,2,apartment,1990–2010,63.5,medium,social housing,1,medium,mixed,no,heat pump,none,electric,no,0.0,no
67,3,detached house,1990–2010,102.5,poor,social housing,4,high,students,yes,gas boiler,AC unit,electric,no,0.0,no
68,0,apartment,before 1945,47.5,poor,private rental,3,high,students,yes,gas boiler,none,electric,yes,3.43,no
69,2,detached house,after 2010,189.6,good,private rental,2,high,working adults,no,heat pump,reversible heat pump,electric,no,0.0,no
70,6,detached house,1945–1970,133.7,poor,social housing,1,high,retired,no,gas boiler,none,gas,yes,4.63,no
71,2,apartment,1945–1970,76.7,poor,owner-occupied,2,high,retired,no,electric heating,reversible heat pump,electric,no,0.0,yes
72,6,semi-detached,1990–2010,78.5,medium,owner-occupied,5,high,mixed,no,gas boiler,none,gas,yes,4.3,no
73,6,semi-detached,1945–1970,154.5,poor,owner-occupied,3,high,working adults,no,gas boiler,none,electric,yes,3.99,no
74,0,terraced,1990–2010,90.7,medium,owner-occupied,4,high,working adults,yes,gas boiler,none,gas,yes,1.21,no
75,2,apartment,before 1945,101.7,poor,owner-occupied,2,high,working adults,no,heat pump,AC unit,electric,no,0.0,no
76,2,terraced,1970–1990,79.6,poor,private rental,3,high,mixed,no,electric heating,none,electric,yes,2.59,yes
77,2,detached house,before 1945,152.8,poor,owner-occupied,4,high,students,yes,heat pump,reversible heat pump,electric,no,0.0,no
78,1,apartment,1945–1970,88.0,poor,private rental,2,high,students,no,heat pump,AC unit,gas,no,0.0,no
79,3,terraced,before 1945,89.8,poor,owner-occupied,3,high,working adults,yes,gas boiler,reversible heat pump,gas,yes,3.13,no
80,0,apartment,1945–1970,58.3,poor,social housing,1,medium,retired,no,gas boiler,AC unit,gas,no,0.0,no
81,2,apartment,1990–2010,51.0,good,private rental,1,high,students,no,electric heating,reversible heat pump,electric,no,0.0,no
82,6,terraced,1970–1990,118.3,poor,owner-occupied,5,high,working adults,yes,gas boiler,none,gas,no,0.0,no
